/home/wrb15144/neural_seq_decoder/venv/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/wrb15144/neural_seq_decoder/src/neural_decoder/augmentations.py:91: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at ../aten/src/ATen/native/Convolution.cpp:895.)
  return self.conv(input, weight=self.weight, groups=self.groups, padding="same")
batch 6100, ctc loss: 0.848499, cer: 0.222153, time/batch:   0.358
batch 6200, ctc loss: 0.860680, cer: 0.225661, time/batch:   0.345
batch 6300, ctc loss: 0.846414, cer: 0.225744, time/batch:   0.339
batch 6400, ctc loss: 0.835162, cer: 0.220709, time/batch:   0.345
batch 6500, ctc loss: 0.834435, cer: 0.221204, time/batch:   0.355
batch 6600, ctc loss: 0.844803, cer: 0.220214, time/batch:   0.334
batch 6700, ctc loss: 0.843271, cer: 0.220750, time/batch:   0.355
batch 6800, ctc loss: 0.837612, cer: 0.218563, time/batch:   0.341
batch 6900, ctc loss: 0.840738, cer: 0.217903, time/batch:   0.343
batch 7000, ctc loss: 0.839713, cer: 0.218439, time/batch:   0.349
batch 7100, ctc loss: 0.844701, cer: 0.219842, time/batch:   0.341
batch 7200, ctc loss: 0.846089, cer: 0.219306, time/batch:   0.355
batch 7300, ctc loss: 0.830023, cer: 0.218109, time/batch:   0.342
batch 7400, ctc loss: 0.834358, cer: 0.216953, time/batch:   0.333
batch 7500, ctc loss: 0.836165, cer: 0.216334, time/batch:   0.349
batch 7600, ctc loss: 0.832421, cer: 0.213693, time/batch:   0.350
batch 7700, ctc loss: 0.836489, cer: 0.213157, time/batch:   0.347
batch 7800, ctc loss: 0.838593, cer: 0.216252, time/batch:   0.350
batch 7900, ctc loss: 0.825011, cer: 0.211011, time/batch:   0.340
batch 8000, ctc loss: 0.839836, cer: 0.213900, time/batch:   0.349
batch 8100, ctc loss: 0.833318, cer: 0.213817, time/batch:   0.351
batch 8200, ctc loss: 0.844031, cer: 0.211919, time/batch:   0.348
batch 8300, ctc loss: 0.839445, cer: 0.213033, time/batch:   0.338
batch 8400, ctc loss: 0.835390, cer: 0.211176, time/batch:   0.347
batch 8500, ctc loss: 0.837897, cer: 0.211630, time/batch:   0.342
batch 8600, ctc loss: 0.838321, cer: 0.207915, time/batch:   0.341
batch 8700, ctc loss: 0.834555, cer: 0.210144, time/batch:   0.354
batch 8800, ctc loss: 0.834262, cer: 0.211093, time/batch:   0.339
batch 8900, ctc loss: 0.839375, cer: 0.210681, time/batch:   0.342
batch 9000, ctc loss: 0.847267, cer: 0.207585, time/batch:   0.349
batch 9100, ctc loss: 0.838826, cer: 0.209442, time/batch:   0.349
batch 9200, ctc loss: 0.835644, cer: 0.208493, time/batch:   0.347
batch 9300, ctc loss: 0.841076, cer: 0.207792, time/batch:   0.325
batch 9400, ctc loss: 0.843814, cer: 0.209236, time/batch:   0.333
batch 9500, ctc loss: 0.843697, cer: 0.208039, time/batch:   0.341
batch 9600, ctc loss: 0.843722, cer: 0.208988, time/batch:   0.350
batch 9700, ctc loss: 0.844630, cer: 0.210144, time/batch:   0.348
batch 9800, ctc loss: 0.856404, cer: 0.208535, time/batch:   0.339
batch 9900, ctc loss: 0.858980, cer: 0.208287, time/batch:   0.345
Traceback (most recent call last):
  File "/home/wrb15144/neural_seq_decoder/scripts/eval_competition.py", line 9, in <module>
    import neuralDecoder.utils.lmDecoderUtils as lmDecoderUtils
ModuleNotFoundError: No module named 'neuralDecoder'
